date,scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
20260130,normal,10,106704.30346679688,-9728.223555096874,-14072.4801863127,-12457.379998053186,-16467.76651502973
20260130,stress,10,106704.30346679688,-17643.661852225527,-25706.303258949076,-22411.005539391383,-30171.63887144784
20260202,normal,1,105657.6416015625,-3263.499758033857,-4422.078677583457,-4047.271787443828,-5057.144657851202
20260202,stress,1,105657.6416015625,-4979.33478808956,-6392.493216407035,-6064.446705974862,-7724.072733534542
20260202,normal,10,105657.6416015625,-9371.63974966526,-13680.649424601244,-12331.19224971506,-16839.376250564288
20260202,stress,10,105657.6416015625,-18683.77591880498,-26851.68498861533,-23392.007511479183,-32041.408687527837
20260203,normal,1,108989.25927734376,-3554.5181749161834,-5517.889792577919,-4611.904682317719,-6149.981748994871
20260203,stress,1,108989.25927734376,-5524.657023589103,-8022.768431141355,-7154.692386858443,-9442.848208446205
20260203,normal,10,108989.25927734376,-8680.109496551211,-12499.242017656186,-11019.252441012415,-13581.235570598625
20260203,stress,10,108989.25927734376,-18100.623837465337,-23600.87969373391,-21921.050656764757,-27897.845013110105
20260204,normal,1,108857.4384765625,-3122.1815374834273,-4593.189288340752,-4055.8971112394815,-5479.442920358577
20260204,stress,1,108857.4384765625,-5274.818769503365,-7403.065290826853,-6625.786152691612,-8184.049583716756
20260204,normal,10,108857.4384765625,-9307.66036457483,-13787.77527695548,-12388.747745181434,-17243.989845586777
20260204,stress,10,108857.4384765625,-18881.43462017662,-24828.92714842263,-23034.009812728094,-30911.661798445548
20260205,normal,1,107773.919921875,-3357.55131156624,-4987.534297228001,-4317.302993161611,-5802.237412675487
20260205,stress,1,107773.919921875,-5116.03444463136,-6956.550935507285,-6162.445500050242,-7629.311414261123
20260205,normal,10,107773.919921875,-8943.72197339416,-15056.353335332016,-12092.630426338494,-16832.770614860136
20260205,stress,10,107773.919921875,-16829.789512146177,-23841.594232213625,-20889.63250775343,-27290.705104222096
20260206,normal,1,109403.69970703124,-3159.693037849772,-4917.362506186713,-4193.613300860713,-5267.78835035848
20260206,stress,1,109403.69970703124,-5505.015246550844,-7430.826537547241,-6780.117747715212,-8562.120598778394
20260206,normal,10,109403.69970703124,-8766.589367876872,-12317.718019206852,-11019.406128189792,-13641.8242300625
20260206,stress,10,109403.69970703124,-18135.02135999117,-24597.86228259914,-22111.618668992443,-27283.30403621473
20260209,normal,1,111078.85864257812,-3246.3221974191747,-4559.467069365126,-4109.530586738048,-5309.010921273866
20260209,stress,1,111078.85864257812,-5857.274418411113,-7488.136079515985,-7018.172012801949,-8578.772440076564
20260209,normal,10,111078.85864257812,-9423.300836019656,-14301.408318065833,-12362.013487618082,-16408.47541829963
20260209,stress,10,111078.85864257812,-18718.660049877097,-25577.217717580443,-22940.873432369823,-28830.03903862702
20260210,normal,1,113480.6328125,-3238.9911546031885,-5023.319469674587,-4274.907625685484,-5441.50769418252
20260210,stress,1,113480.6328125,-5643.312284018122,-8194.882717234283,-7271.687161810265,-9317.183304204837
20260210,normal,10,113480.6328125,-9295.20609979585,-13838.18558134716,-12293.02843582557,-16504.514257683855
20260210,stress,10,113480.6328125,-17376.608106182815,-24806.33892447209,-21526.027620381745,-27714.22948295543
20260211,normal,1,113480.6328125,-3606.6637235194153,-5081.779276159275,-4518.111746379652,-5602.157812405744
20260211,stress,1,113480.6328125,-5680.96694205386,-7882.147050587442,-6985.755707502361,-9010.424547927088
20260211,normal,10,113480.6328125,-9780.745750607368,-13876.099513294905,-12187.755108949368,-16233.763893985591
20260211,stress,10,113480.6328125,-18380.2007866048,-24886.776745636183,-22836.305065208777,-30356.206273796917
